Common,742,,,,,,,,,,,
GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude,Persistence,Dates Seen
18:04.4,18:04.4,90:61:0c:3a:11:bd,PLDTHOMEDSL04541,WPA2/WPA,-80,11,FidaInte,Broadband,14.64697,121.05777,5,"04/05/2018, 03/22/2018, 04/02/2018, 04/03/2018, "
49:47.3,49:47.3,1c:74:0d:17:57:88,PLDTHOMEDSL3SQBI,WPA2/WPA,-65,4,ZyxelCom,Broadband,14.646877,121.05793,47,"03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018, 04/13/2018, 03/14/2018, 03/22/2018, "
4/5/2018 12:49,14:47.7,78:c1:a7:03:9e:ec,Pebble,WPA,-43,1,Zte,Unidentified,14.64695,121.057743,28,"03/14/2018, 04/03/2018, 04/05/2018, 04/10/2018, 04/02/2018, 03/22/2018, "
4/5/2018 12:49,14:46.7,e0:8e:3c:19:b0:ab,79Maginhawa,WPA,-76,1,AztechEl,Unidentified,14.646993,121.05769,2,"04/05/2018, "
4/5/2018 13:44,33:56.1,00:13:33:db:90:5c,PLDTHOMEDSL,WPA2/WPA,-66,11,Baudtec,Broadband,14.646873,121.057882,25,"03/22/2018, 04/05/2018, 04/02/2018, 04/03/2018, 03/14/2018, "
4/5/2018 13:41,30:38.4,ee:1d:7f:a1:35:10,aninay09,WPA2,-74,6,None,Unidentified,14.646935,121.057707,6,"04/05/2018, "
4/5/2018 13:41,30:37.4,36:69:87:a1:89:8f,NATOR 1O,WPA2/WPA,-72,6,None,Unidentified,14.646967,121.057672,12,"04/05/2018, 03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018, "
4/5/2018 14:30,19:33.3,c8:93:46:48:60:c6,Think_4860C6,WPA2,-74,2,Mxchip,Not an AP,14.646868,121.057828,14,"03/14/2018, 03/22/2018, 04/03/2018, 04/05/2018, 04/10/2018, 04/02/2018, "
4/5/2018 14:30,19:33.5,c8:93:46:48:4c:ae,Think_484CAE,WPA2,-74,2,Mxchip,Not an AP,14.646868,121.057828,20,"04/03/2018, 04/05/2018, 04/02/2018, 04/03/2018, "
4/13/2018 13:44,32:00.4,cc:06:77:21:70:80,zab,WPA2/WPA,-63,7,Fiberhom,Fiber,14.647163,121.05773,36,"03/22/2018, 04/03/2018, 04/05/2018, 04/13/2018, 04/02/2018, 03/14/2018, 04/10/2018, "
4/13/2018 13:44,32:01.8,c8:93:46:48:50:5b,Think_48505B,WPA2,-63,7,Mxchip,Not an AP,14.647133,121.057795,22,"03/22/2018, 04/03/2018, 04/05/2018, 04/13/2018, "
4/13/2018 13:44,32:04.5,f0:98:38:07:87:c0,Globe-1899,WPA2/WPA,-87,9,HuaweiTe,Unidentified,14.647068,121.05797,1,"04/13/2018, "
4/13/2018 13:44,32:04.6,00:24:a5:d7:87:d3,BuraotNET-G-AES,WPA,-82,10,Buffalo,Unidentified,14.647068,121.05797,3,"04/13/2018, 03/14/2018, 04/05/2018, "
52:02.3,52:02.3,90:61:0c:1f:a2:77,PLDTHOMEDSL,WPA2/WPA,-80,11,FidaInte,Broadband,14.646705,121.057285,7,"03/22/2018, 04/03/2018, 04/02/2018, 04/05/2018, "
23:36.1,23:36.1,9c:a9:e4:9a:e3:bf,Sun Wi-Fi_9AE3BE,OPN,-56,11,Zte,Unidentified,14.646777,121.057292,7,"04/02/2018, 04/05/2018, "
38:04.1,38:04.1,00:13:33:fe:e4:28,PLDTHOMEDSL,WPA2/WPA,-81,1,Baudtec,Broadband,14.64657,121.057193,4,"04/10/2018, 03/22/2018, 04/02/2018, 04/03/2018, "
4/5/2018 14:10,00:02.6,28:ff:3e:3d:dd:31,bayanDSLWIFI_DD31,WPA2/WPA,-56,6,Zte,Unidentified,14.646705,121.057233,16,"04/02/2018, 04/03/2018, 04/05/2018, 03/22/2018, 04/10/2018, "
19:43.6,19:43.6,82:2a:a8:41:e9:d6,upstairs,WPA2,-73,11,None,Unidentified,14.646795,121.058018,15,"04/02/2018, 04/03/2018, 04/05/2018, "
19:43.5,19:43.5,80:2a:a8:41:e9:d6,Wireless,WPA2,-73,11,Ubiquiti,Unidentified,14.646795,121.058018,13,"04/02/2018, 04/03/2018, 04/05/2018, "
4/5/2018 12:49,14:52.5,c8:93:46:47:ad:f2,Think_47ADF2,WPA2,-71,6,Mxchip,Not an AP,14.646765,121.058053,18,"04/05/2018, 03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018, "
4/5/2018 14:30,19:36.8,88:d2:74:86:cf:41,bayanDSLWIFI_CF41,WPA2/WPA,-64,6,Zte,Unidentified,14.646775,121.058002,32,"04/03/2018, 04/05/2018, 04/02/2018, 04/03/2018, 03/22/2018, "
4/5/2018 13:41,30:48.5,00:13:33:e1:7d:fc,PLDTHOMEDSL,WPA2/WPA,-65,11,Baudtec,Broadband,14.646702,121.058093,31,"03/22/2018, 03/14/2018, 03/22/2018, 04/03/2018, 04/05/2018, 04/13/2018, "
4/5/2018 14:18,07:43.8,3a:f7:3d:af:9d:04,xNonex,WPA2,-73,11,None,Unidentified,14.64678,121.058075,3,"04/05/2018, "
30:07.1,30:07.1,34:ba:9a:57:83:20,nativeman,WPA2,-93,6,Asiatelc,Unidentified,14.646623,121.05818,1,"03/22/2018, "
46:25.4,46:25.4,f4:f2:6d:94:56:14,OrangeSegment1,WPA2,-68,1,Tp-LinkT,Unidentified,14.646787,121.058172,32,"03/14/2018, 04/03/2018, 04/05/2018, 04/10/2018, 04/02/2018, 03/22/2018, 04/13/2018, "
46:26.2,46:26.2,14:b7:f8:62:6d:80,Teslala,WPA2,-81,1,Technico,Unidentified,14.646777,121.058192,1,"04/02/2018, "
46:27.1,46:27.1,82:2a:a8:41:e8:2a,dining,WPA2,-92,1,None,Unidentified,14.646767,121.058217,1,"04/02/2018, "
19:41.2,19:41.2,1a:74:2e:bc:c2:22,xNonex,WPA2,-66,11,None,Unidentified,14.646742,121.058133,14,"04/02/2018, 04/03/2018, 04/05/2018, "
34:19.7,34:19.7,bc:c0:0f:7b:db:c0,FIBERHOME_bdbc0,WPA2/WPA,-76,1,Fiberhom,Fiber,14.646713,121.05825,6,"04/13/2018, 03/22/2018, 04/03/2018, 04/05/2018, "
34:24.7,34:24.7,90:61:0c:33:a6:ea,PLDTHOMEDSL42730,WPA2/WPA,-83,8,FidaInte,Broadband,14.646588,121.058563,12,"04/02/2018, 04/05/2018, 04/03/2018, "
19:40.8,19:40.8,f2:9f:c2:27:9d:b9,backyard,WPA2,-67,9,None,Unidentified,14.646715,121.058193,17,"04/02/2018, 04/03/2018, 04/13/2018, 04/05/2018, 04/10/2018, "
19:40.8,19:40.8,f0:9f:c2:27:9d:b9,Wireless,WPA2,-67,9,Ubiquiti,Unidentified,14.646715,121.058193,20,"03/14/2018, 04/02/2018, 04/05/2018, 04/13/2018, 04/03/2018, 04/10/2018, "
18:21.9,18:21.9,4c:81:20:f3:97:9b,PNRBRUDU,WPA2/WPA,-82,9,TaicangT,Unidentified,14.646565,121.05858,10,"04/13/2018, 04/03/2018, 04/05/2018, 04/02/2018, "
52:58.8,52:58.8,14:ab:f0:4d:9d:80,ARRIS-9D82,WPA2,-74,6,ArrisGro,Unidentified,14.646603,121.058147,9,"03/14/2018, 04/03/2018, 04/05/2018, 04/10/2018, "
52:58.3,52:58.3,cc:06:77:5c:bd:58,OSPLDT2_4G,WPA2/WPA,-60,7,Fiberhom,Fiber,14.646578,121.058208,28,"04/13/2018, 04/02/2018, 04/05/2018, 04/13/2018, 04/03/2018, 03/22/2018, 04/10/2018, "
52:52.2,52:52.2,94:46:96:17:00:3d,PLDTHOMEDSL7M7R0,WPA2/WPA,-57,1,Baudtec,Broadband,14.646418,121.058558,31,"04/05/2018, 03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018, 04/13/2018, 04/10/2018, "
4/5/2018 12:51,17:16.8,34:97:f6:5d:3b:d8,KAPE_GUEST,WPA2,-58,2,AsustekC,Unidentified,14.646752,121.058157,27,"04/03/2018, 04/05/2018, 04/13/2018, 03/14/2018, 03/22/2018, 04/02/2018, 04/03/2018, "
4/5/2018 12:51,17:10.4,fc:b4:e6:82:30:f0,none,none,-86,11,none,Unidentified,14.646573,121.058565,2,"04/05/2018, 04/10/2018, "
4/5/2018 12:51,17:14.7,a4:2b:b0:d9:10:26,xNonex,WPA2/WPA,-72,11,Tp-LinkT,Unidentified,14.646662,121.05833,13,"04/05/2018, 04/03/2018, 04/05/2018, 04/10/2018, "
4/5/2018 14:10,59:21.4,fa:da:0c:3b:89:cd,DIRECT-s5-BRAVIA,WPA2,-83,6,None,Unidentified,14.646585,121.058498,3,"04/03/2018, 04/05/2018, "
4/5/2018 14:18,07:46.6,74:cc:39:97:e5:68,FIBERHOME_7e568,WPA2/WPA,-77,2,Fiberhom,Fiber,14.646698,121.058272,3,"04/13/2018, 04/02/2018, 04/05/2018, "
46:40.1,46:40.1,d4:a1:48:6e:37:88,B315_E3788,WPA2/WPA,-56,10,HuaweiTe,Unidentified,14.646578,121.058738,26,"04/13/2018, 04/03/2018, 04/05/2018, 04/02/2018, 04/10/2018, "
19:34.0,19:34.0,f0:98:38:07:78:bc,8386CGA,WPA2/WPA,-65,6,HuaweiTe,Unidentified,14.646567,121.05863,17,"03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018, 03/14/2018, 04/10/2018, "
34:29.4,34:29.4,34:ba:9a:56:97:5d,Icy_kaori,WPA2,-73,8,Asiatelc,Unidentified,14.646462,121.058842,3,"04/03/2018, "
18:22.5,18:22.5,34:ba:9a:55:c5:b6,xNonex,WPA2/WPA,-57,9,Asiatelc,Unidentified,14.646553,121.058632,30,"04/13/2018, 03/22/2018, 04/05/2018, 03/14/2018, 04/02/2018, 04/03/2018, 04/10/2018, "
34:28.6,34:28.6,e0:8e:3c:19:9c:bb,Aztech5068_99CBB,WPA,-58,10,AztechEl,Unidentified,14.646462,121.058842,17,"03/14/2018, 03/22/2018, 04/05/2018, 04/02/2018, 04/03/2018, 04/10/2018, "
37:23.9,37:23.9,00:21:29:9d:a8:2f,SpanishCoins,WPA2,-68,11,Cisco-Li,Unidentified,14.646445,121.058943,33,"04/13/2018, 03/22/2018, 04/03/2018, 04/05/2018, 03/14/2018, 04/02/2018, 04/10/2018, "
18:29.5,18:29.5,48:00:33:a7:e7:a1,SKYbroadbandE79E,WPA2/WPA,-61,1,Technico,Broadband,14.646487,121.058987,33,"04/05/2018, 03/14/2018, 03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018, 04/13/2018, 04/10/2018, "
4/5/2018 12:49,15:03.6,38:46:08:f3:47:24,bayanDSL,WPA,-71,10,Zte,Unidentified,14.646497,121.058723,13,"04/02/2018, 04/05/2018, 04/10/2018, "
4/5/2018 13:41,31:04.5,ee:1d:7f:a1:32:b7,YASSI,WPA2/WPA,-74,13,None,Unidentified,14.646423,121.058887,12,"03/14/2018, 03/22/2018, 04/03/2018, 04/05/2018, "
4/5/2018 14:10,59:14.1,ec:8c:a2:30:ff:28,#SmartWifi @StrEATMag,OPN,-49,1,RuckusWi,Unidentified,14.646528,121.058718,45,"04/03/2018, 04/02/2018, 04/03/2018, 04/05/2018, 03/22/2018, 03/14/2018, 04/13/2018, 04/10/2018, "
4/5/2018 13:41,31:07.4,14:b7:f8:64:5d:e0,X Pulang Itlog,WPA2,-66,1,Technico,Unidentified,14.646398,121.058977,26,"04/03/2018, 04/05/2018, 03/22/2018, 04/02/2018, 04/03/2018, "
4/5/2018 14:18,07:54.8,f0:98:38:07:a6:4c,Armstrong,WPA2/WPA,-84,6,HuaweiTe,Unidentified,14.646495,121.058763,1,"04/05/2018, "
4/10/2018 18:06,21:29.2,bc:c0:0f:7b:94:f0,RKT DESIGN STUDIO,WPA2/WPA,-82,4,Fiberhom,Fiber,14.646398,121.058987,4,"04/10/2018, 04/05/2018, "
4/13/2018 13:44,32:39.1,14:ab:f0:4c:c1:b0,SpynetCafe,WPA2,-73,6,ArrisGro,Unidentified,14.646803,121.05893,16,"04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018, 04/13/2018, 03/14/2018, "
4/13/2018 13:44,32:49.9,d2:5b:a8:32:a2:7c,hartsopia,WPA2/WPA,-88,1,None,Unidentified,14.646497,121.058887,2,"04/13/2018, "
4/13/2018 13:44,32:50.6,42:b8:9a:11:e4:f5,DIRECT-EP-BRAVIA,WPA2,-81,1,None,Unidentified,14.64645,121.058887,1,"04/13/2018, "
46:49.5,46:49.5,00:13:33:ea:7b:20,PLDTHOMEDSLadmin,WPA2/WPA,-49,5,Baudtec,Broadband,14.646445,121.059125,59,"04/03/2018, 04/05/2018, 03/22/2018, 04/02/2018, 04/03/2018, 04/10/2018, 04/13/2018, "
46:48.4,46:48.4,50:c7:bf:7a:fc:16,CH_spicy noodles private,WPA2,-69,2,Tp-LinkT,Unidentified,14.646455,121.059107,10,"03/14/2018, 04/05/2018, 04/10/2018, 04/13/2018, 04/02/2018, 04/03/2018, "
34:40.8,34:40.8,00:13:33:ea:7b:21,trendzoneqc,WPA2/WPA,-46,5,Baudtec,Unidentified,14.646378,121.059125,64,"04/05/2018, 03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018, 04/13/2018, "
34:45.0,34:45.0,cc:06:77:d8:00:a0,PLDTHOMEFIBR800a0,WPA2/WPA,-86,7,Fiberhom,Fiber,14.646377,121.059267,4,"04/02/2018, 04/03/2018, 04/05/2018, "
18:31.2,18:31.2,50:09:59:85:c1:e9,SKYbroadbandC1E6,WPA2/WPA,-92,1,Technico,Broadband,14.646467,121.059078,1,"04/03/2018, "
4/5/2018 12:49,15:19.0,18:de:d7:34:48:5c,TOBY2,WPA2/WPA,-89,11,HuaweiTe,Unidentified,14.646362,121.059222,3,"04/05/2018, 04/03/2018, "
4/5/2018 14:18,08:02.3,00:26:75:f7:27:a0,Panuncialman,WPA2,-84,11,AztechEl,Unidentified,14.64639,121.059112,12,"04/03/2018, 04/05/2018, "
47:52.0,47:52.0,f0:98:38:3e:25:fc,HUAWEI-xUKs,WPA2/WPA,-77,6,HuaweiTe,Unidentified,14.646783,121.060823,3,"04/13/2018, 04/02/2018, 04/05/2018, "
4/5/2018 14:31,21:02.7,c0:7e:40:73:20:c4,PT&T Fiber,WPA2/WPA,-87,11,Shenzhen,Unidentified,14.646408,121.060977,1,"04/05/2018, "
4/5/2018 14:31,21:06.2,90:61:0c:2e:d5:16,PLDTHOMEDSL54550,WPA2/WPA,-74,1,FidaInte,Broadband,14.646572,121.06092,2,"04/05/2018, 04/02/2018, "
4/5/2018 14:31,21:06.5,e0:8e:3c:22:44:ab,bayanDSLWIFI_44AB,WPA2/WPA,-82,2,AztechEl,Unidentified,14.646572,121.06092,1,"04/05/2018, "
4/5/2018 14:32,21:19.8,34:ba:9a:55:b6:dd,SmartBro_5B6DD,WPA2/WPA,-63,9,Asiatelc,Unidentified,14.646793,121.061137,1,"04/05/2018, "
23:44.5,23:44.5,e0:8e:3c:2f:3e:6d,bayanDSLWIFI_3E6D,WPA2/WPA,-61,1,AztechEl,Unidentified,14.646288,121.057252,22,"03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018, 04/13/2018, "
23:48.1,23:48.1,08:10:74:62:0f:1e,Youre an Idiot,WPA2/WPA,-61,6,None,Unidentified,14.646178,121.05724,17,"04/05/2018, 04/10/2018, 03/22/2018, 04/02/2018, 04/05/2018, 04/13/2018, "
4/5/2018 12:52,18:25.5,c0:a0:bb:12:90:a4,linkanddie,WPA2/WPA,-66,10,D-LinkIn,Unidentified,14.64633,121.057267,6,"04/05/2018, 03/22/2018, 04/02/2018, 04/05/2018, 04/10/2018, "
4/5/2018 12:52,18:25.4,cc:06:77:22:75:c0,Red_PLDT_2.4gHz,WPA2/WPA,-65,11,Fiberhom,Fiber,14.64633,121.057267,7,"03/22/2018, 04/05/2018, 04/02/2018, 04/10/2018, "
4/5/2018 12:53,18:28.2,00:13:33:d6:2b:cb,PLDTHOMEDSL,WPA2/WPA,-68,11,Baudtec,Broadband,14.64617,121.057267,12,"04/02/2018, 04/05/2018, 03/22/2018, 04/02/2018, 04/10/2018, "
4/5/2018 13:14,40:08.5,00:1b:2f:5e:54:c0,NETGEAR,WEP,-74,11,Netgear,Unidentified,14.646098,121.05752,3,"04/05/2018, 04/10/2018, 04/13/2018, "
4/5/2018 13:14,40:11.7,00:13:33:fe:42:5c,PLDTHOMEDSL,WPA2/WPA,-90,1,Baudtec,Broadband,14.646092,121.057655,1,"04/05/2018, "
4/10/2018 17:49,04:25.3,5c:54:6d:43:78:9c,VILL99,WPA2/WPA,-67,4,HuaweiTe,Unidentified,14.646125,121.057382,16,"03/22/2018, 04/10/2018, 04/02/2018, 04/05/2018, 04/13/2018, "
4/10/2018 17:58,13:06.6,cc:06:77:23:06:e8,PLDTHOMEFIBR306e8,WPA2/WPA,-61,10,Fiberhom,Fiber,14.646087,121.057653,9,"03/22/2018, 04/02/2018, 04/05/2018, 04/10/2018, 04/13/2018, "
4/10/2018 17:58,13:07.0,00:13:33:df:9b:c2,PLDTHOMEDSL,WPA2/WPA,-83,11,Baudtec,Broadband,14.646087,121.057653,2,"04/10/2018, 04/13/2018, "
4/10/2018 18:03,18:32.4,90:61:0c:3a:43:1c,PLDTHOMEDSL17180,WPA2/WPA,-73,1,FidaInte,Broadband,14.646242,121.057602,3,"04/10/2018, 04/13/2018, "
4/10/2018 18:03,18:26.1,00:1f:fb:ac:3e:9d,AJ_Ginny Network,WPA2,-86,10,GreenPac,Mobile broadband,14.646183,121.057285,2,"04/10/2018, 04/13/2018, "
4/5/2018 13:14,40:19.5,bc:c0:0f:20:1b:00,Network_Unavailable,WPA2/WPA,-68,6,Fiberhom,Fiber,14.645978,121.058098,10,"04/02/2018, 04/05/2018, 04/10/2018, 04/13/2018, "
4/5/2018 13:14,40:14.1,88:d7:f6:a6:38:34,PLDTMyDSL-RFamily_RPT,WPA2,-70,2,AsustekC,Broadband,14.646067,121.057823,4,"04/05/2018, 04/10/2018, 04/13/2018, "
4/5/2018 13:14,40:11.8,fc:b4:e6:4a:e2:16,SKYbroadbandE7D3,WPA2/WPA,-80,1,AskeyCom,Broadband,14.646082,121.057698,3,"04/10/2018, 04/05/2018, 04/10/2018, "
4/5/2018 13:14,40:12.3,cc:06:77:5e:61:e8,PLDTHOMEFIBRe61e8,WPA2/WPA,-71,1,Fiberhom,Fiber,14.646082,121.057698,3,"03/22/2018, 04/05/2018, 04/13/2018, "
4/5/2018 13:14,40:13.9,4c:81:20:f3:b0:d4,PLDTMyDSL-RFamily,WPA2,-82,2,TaicangT,Broadband,14.646075,121.05776,2,"04/05/2018, 04/10/2018, "
4/5/2018 13:14,40:17.6,e8:de:27:ca:84:28,TP-LINK_CA8428,WPA2/WPA,-65,4,Tp-LinkT,Unidentified,14.646015,121.057985,6,"04/05/2018, 04/10/2018, 04/13/2018, "
4/5/2018 13:14,40:16.8,46:d2:44:4e:55:73,DIRECT-444ED573,WPA2,-83,4,None,Unidentified,14.646035,121.057932,3,"04/05/2018, 04/10/2018, 04/13/2018, "
4/5/2018 13:14,40:19.2,aa:6b:ad:5e:b8:8d,DIRECT-W4-BRAVIA,WPA2,-83,11,None,Unidentified,14.645978,121.058098,1,"04/05/2018, "
4/10/2018 17:56,11:09.5,bc:c0:0f:7b:d7:08,lukedior,WPA2/WPA,-39,9,Fiberhom,Fiber,14.646182,121.05769,16,"03/22/2018, 04/02/2018, 04/05/2018, 04/10/2018, 04/13/2018, "
4/10/2018 17:49,04:16.6,38:46:08:f3:3d:24,BOOMER,WPA,-96,1,Zte,Unidentified,14.646048,121.057973,1,"04/10/2018, "
4/10/2018 18:03,18:35.2,94:a7:b7:3c:f9:77,bayanDSLWIFI_F977,WPA2/WPA,-65,2,Zte,Unidentified,14.646237,121.057773,7,"04/10/2018, 04/13/2018, 04/05/2018, 04/10/2018, "
4/10/2018 18:03,18:34.3,fc:75:16:99:d7:b4,dlink1,WPA2/WPA,-80,2,D-LinkIn,Unidentified,14.646242,121.057715,3,"04/10/2018, "
4/10/2018 17:56,11:13.5,4c:81:20:f3:b0:d3,Oplan Double Barrel,WPA2,-80,10,TaicangT,Unidentified,14.646137,121.057925,2,"04/05/2018, 04/10/2018, "
4/13/2018 13:45,33:20.5,78:58:60:61:5e:4c,HUAWEI-D7e2,WPA2/WPA,-92,11,HuaweiTe,Unidentified,14.646173,121.057795,1,"04/13/2018, "
4/5/2018 13:14,40:22.3,80:16:f9:b4:52:82,ZGMF-X20A,WPA2,-84,8,None,Unidentified,14.645952,121.05824,4,"04/10/2018, 04/13/2018, 04/05/2018, 04/10/2018, "
4/5/2018 13:14,40:20.4,84:16:f9:b4:52:82,Zero Requiem,WPA2,-84,8,Tp-LinkT,Unidentified,14.645968,121.058152,4,"04/10/2018, 04/13/2018, 04/05/2018, 04/10/2018, "
4/5/2018 13:14,40:25.2,68:7f:74:d2:13:7e,C Home,WPA2/WPA,-74,11,Cisco-Li,Unidentified,14.645913,121.0584,7,"04/05/2018, 04/10/2018, 04/13/2018, "
4/10/2018 18:03,18:42.7,4c:f9:5d:85:a1:d4,vsaquino,WPA2/WPA,-59,8,HuaweiTe,Unidentified,14.646107,121.058245,5,"04/10/2018, 04/13/2018, "
4/10/2018 18:03,18:44.7,88:3f:d3:06:4e:d0,Casa Isha,WPA2/WPA,-73,9,HuaweiTe,Unidentified,14.646063,121.058395,12,"03/22/2018, 04/05/2018, 04/10/2018, 04/13/2018, "
