GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude,Box No.,Box Time,Box Speed,Box Traversal,Persistence,Dates Seen
2018-05-08 16:43:23,2018-05-08 08:43:23.867537,cc:06:77:e1:43:c0,markoliver,WPA2/WPA,-40,6,Fiberhom,Fiber,14.707147,121.096385,8,59,5.0559664167,2,7,"05/08/2018, 05/10/2018, "
2018-05-08 16:43:28,2018-05-08 08:43:29.178889,f0:8c:fb:80:5e:f8,PLDTHOMEFIBRrona,WPA2/WPA,-64,9,Fiberhom,Fiber,14.707148,121.096555,8,59,5.0559664167,2,3,"05/08/2018, 05/10/2018, "
2018-05-10 13:24:36,2018-05-08 13:30:33.092301,48:fd:8e:ce:3d:bc,HUAWEI-b7ev,WPA2/WPA,-88,7,HuaweiTe,Unidentified,14.706783,121.096388,8,59,5.0559664167,2,2,"05/10/2018, "
2018-05-10 13:24:03,2018-05-08 13:30:01.027688,50:a7:2b:48:dd:d7,B315_8DDD7,WPA2/WPA,-81,10,HuaweiTe,Unidentified,14.706823,121.096435,8,59,5.0559664167,2,1,"05/10/2018, "
2018-05-10 13:24:29,2018-05-08 13:30:26.552265,94:a7:b7:26:65:c9,bayanDSLWIFI_65C9,WPA2/WPA,-90,1,Zte,Broadband,14.707042,121.096428,8,59,5.0559664167,2,2,"05/08/2018, 05/10/2018, "
2018-05-08 16:43:33,2018-05-08 08:43:34.408499,b0:4e:26:2f:cb:5a,WAB_Hotspot_4,OPN,-35,12,Tp-LinkT,Unidentified,14.707133,121.096767,9,9,18.5751181807,1,10,"05/08/2018, 05/10/2018, "
2018-05-08 16:43:40,2018-05-08 08:43:41.170295,00:1f:fb:ab:a2:33,NHOYSKIE ANALYN,WPA2,-79,2,GreenPac,Mobile broadband,14.707098,121.097112,9,9,18.5751181807,1,2,"05/08/2018, "
2018-05-08 16:43:48,2018-05-08 08:43:49.695329,d4:6e:0e:78:54:78,TP-LINK_5478,WPA2,-46,7,Tp-LinkT,Unidentified,14.707087,121.09739,10,15,10.997339789,1,6,"05/08/2018, 05/10/2018, "
2018-05-08 16:43:48,2018-05-08 08:43:48.836000,9c:88:ad:a0:ba:10,PLDTHOMEFIBR_a0ba10,WPA2/WPA,-64,7,Fiberhom,Fiber,14.707087,121.09739,10,15,10.997339789,1,4,"05/08/2018, 05/10/2018, "
2018-05-08 16:43:50,2018-05-08 08:43:51.630236,00:1f:fb:c5:2d:33,MaximHernaez,WPA2,-62,11,GreenPac,Mobile broadband,14.70707,121.09746,10,15,10.997339789,1,4,"05/08/2018, "
2018-05-08 16:44:03,2018-05-08 08:44:04.287366,7c:8b:ca:52:db:6c,WAB_HotSpot_Wifi2,OPN,-28,4,Tp-LinkT,Unidentified,14.706938,121.097792,11,15,11.4490497462,1,15,"05/08/2018, 05/10/2018, "
2018-05-08 16:44:11,2018-05-08 08:44:12.248359,96:53:30:d4:f4:a5,DIRECT-jc-BRAVIA,WPA2,-78,11,None,Not an AP,14.706805,121.09795,11,15,11.4490497462,1,2,"05/08/2018, "
2018-05-10 13:03:35,2018-05-08 13:09:32.921020,94:a7:b7:3c:f9:3f,hi,WPA2/WPA,-58,10,Zte,Unidentified,14.706287,121.095688,19,5,12.5530015549,1,8,"05/10/2018, 05/08/2018, 05/10/2018, "
2018-05-10 13:03:42,2018-05-08 13:09:39.712826,34:ce:00:1f:1e:4c,ASUS_plus,WPA2/WPA,-87,1,XiaomiEl,Unidentified,14.706373,121.095888,20,12,14.4472103695,1,2,"05/10/2018, "
2018-05-10 13:03:45,2018-05-08 13:09:42.176674,48:fd:8e:4b:d7:98,xNonex,WPA2/WPA,-64,4,HuaweiTe,Unidentified,14.706392,121.09601,20,12,14.4472103695,1,3,"05/10/2018, "
2018-05-10 13:03:45,2018-05-08 13:09:42.804909,c4:ff:1f:55:8b:10,GWAPO,WPA2/WPA,-72,5,HuaweiTe,Unidentified,14.706392,121.09601,20,12,14.4472103695,1,2,"05/10/2018, "
2018-05-10 13:03:49,2018-05-08 13:09:46.639966,88:d2:74:86:c8:ef,SACDALAN,WPA2/WPA,-60,7,Zte,Unidentified,14.706418,121.096193,20,12,14.4472103695,1,12,"05/10/2018, 05/08/2018, 05/10/2018, "
2018-05-10 13:03:48,2018-05-08 13:09:45.210758,84:db:ac:12:5b:a1,HUAWEI-E5330-5BA1,WPA2,-76,6,HuaweiTe,Hotspot,14.706412,121.096162,20,12,14.4472103695,1,1,"05/10/2018, "
2018-05-08 16:43:01,2018-05-08 08:43:01.948956,cc:06:77:e4:43:b0,WIFI-ni-FAME-at-LUCAS,WPA2/WPA,-63,1,Fiberhom,Fiber,14.706443,121.096418,21,73,10.7397662415,4,12,"05/08/2018, 05/10/2018, "
2018-05-08 16:42:57,2018-05-08 08:42:58.083227,e0:8e:3c:2f:b6:55,bayanDSLWIFI_B655,WPA2/WPA,-82,1,AztechEl,Broadband,14.706353,121.096472,21,73,10.7397662415,4,6,"05/10/2018, 05/08/2018, 05/10/2018, "
2018-05-08 16:43:01,2018-05-08 08:43:02.438096,d0:04:92:01:a2:68,PLDTHOMEFIBRNapinakapetmalu,WPA2/WPA,-87,2,Fiberhom,Fiber,14.706443,121.096418,21,73,10.7397662415,4,1,"05/08/2018, "
2018-05-10 13:03:57,2018-05-08 13:09:54.477476,cc:06:77:73:03:d8,xNonex,WPA2/WPA,-88,11,Fiberhom,Fiber,14.706435,121.096455,21,73,10.7397662415,4,3,"05/10/2018, "
2018-05-10 13:24:41,2018-05-08 13:30:38.292974,8c:eb:c6:93:2a:1b,B315_32A1B,WPA2/WPA,-63,10,HuaweiTe,Unidentified,14.706657,121.096372,21,73,10.7397662415,4,8,"05/10/2018, "
2018-05-10 13:24:49,2018-05-08 13:30:47.004876,e0:8e:3c:2f:8c:5d,CRISMIKE_WIFI,WPA2/WPA,-67,1,AztechEl,Unidentified,14.706437,121.096428,21,73,10.7397662415,4,9,"05/10/2018, 05/08/2018, 05/10/2018, "
2018-05-10 13:03:56,2018-05-08 13:09:53.271607,cc:06:77:e0:78:b8,Culala,WPA2/WPA,-78,11,Fiberhom,Fiber,14.706437,121.096405,21,73,10.7397662415,4,6,"05/08/2018, 05/10/2018, "
2018-05-10 13:24:47,2018-05-08 13:30:44.134113,7c:8b:ca:28:14:54,ExPLDTHOMEFIBRbcc70,WPA2/WPA,-75,1,Tp-LinkT,Unidentified,14.70647,121.096393,21,73,10.7397662415,4,6,"05/10/2018, 05/08/2018, 05/10/2018, "
2018-05-10 13:24:47,2018-05-08 13:30:44.983725,cc:06:77:5b:cc:70,PLDTHOMEFIBRbcc70,WPA2/WPA,-65,1,Fiberhom,Fiber,14.70647,121.096393,21,73,10.7397662415,4,7,"05/10/2018, 05/08/2018, 05/10/2018, "
2018-05-10 13:24:48,2018-05-08 13:30:45.146984,48:fd:8e:b8:9c:b0,Loothauz,WPA2/WPA,-80,2,HuaweiTe,Unidentified,14.706448,121.09641,21,73,10.7397662415,4,4,"05/08/2018, 05/10/2018, "
2018-05-10 13:24:47,2018-05-08 13:30:44.943598,00:1f:fb:ab:a8:f9,HomeBro_ULTERA,WPA2,-91,1,GreenPac,Mobile broadband,14.70647,121.096393,21,73,10.7397662415,4,1,"05/10/2018, "
2018-05-08 16:42:43,2018-05-08 08:42:44.155953,cc:06:77:e2:7b:10,PLDTHOMEFIBR27b10,WPA2/WPA,-73,5,Fiberhom,Fiber,14.706348,121.096832,22,62,10.1243708189,4,4,"05/10/2018, 05/08/2018, 05/10/2018, "
2018-05-10 13:04:14,2018-05-08 13:10:11.927246,c4:ff:1f:57:da:4c,HUAWEI-h5Ad,WPA2/WPA,-79,11,HuaweiTe,Unidentified,14.706357,121.097108,22,62,10.1243708189,4,8,"05/10/2018, 05/08/2018, 05/10/2018, "
2018-05-10 13:04:15,2018-05-08 13:10:12.450547,00:13:33:ce:fc:c4,PLDTHOMEDSLnowifi,WPA2/WPA,-61,11,Baudtec,Broadband,14.70634,121.097145,22,62,10.1243708189,4,11,"05/10/2018, 05/08/2018, 05/10/2018, "
2018-05-10 13:04:04,2018-05-08 13:10:01.475976,e0:8e:3c:2e:10:21,bayanDSLWIFI_1021,WPA2/WPA,-77,1,AztechEl,Broadband,14.70641,121.096752,22,62,10.1243708189,4,2,"05/10/2018, "
2018-05-10 13:25:07,2018-05-08 13:31:04.855323,08:10:73:47:13:90,Regie,WPA2/WPA,-62,1,None,Unidentified,14.706387,121.096855,22,62,10.1243708189,4,8,"05/10/2018, 05/08/2018, 05/10/2018, "
2018-05-10 13:04:10,2018-05-08 13:10:08.062298,f0:8c:fb:81:5c:d0,PLDTHOMEFIBR_815cd0,WPA2,-73,5,Fiberhom,Fiber,14.7064,121.096918,22,62,10.1243708189,4,2,"05/10/2018, "
2018-05-10 13:25:15,2018-05-08 13:31:12.290520,a8:15:4d:e9:5a:e0,Tita Easth Net,WPA2,-88,7,Tp-LinkT,Unidentified,14.70635,121.09705,22,62,10.1243708189,4,3,"05/10/2018, "
2018-05-10 13:04:14,2018-05-08 13:10:11.860536,00:26:75:b7:89:7c,bayanDSLWiFi_897C,WPA2/WPA,-86,9,AztechEl,Broadband,14.706357,121.097108,22,62,10.1243708189,4,1,"05/10/2018, "
2018-05-08 16:44:30,2018-05-08 08:44:30.811261,e0:8e:3c:1b:42:cb,malounavarro,WPA2/WPA,-67,10,AztechEl,Unidentified,14.7063,121.097952,24,15,10.7498963914,1,5,"05/08/2018, 05/10/2018, "
2018-05-08 16:44:24,2018-05-08 08:44:25.279395,7c:8b:ca:31:2f:60,WAB HOTSPOT 2,OPN,-64,4,Tp-LinkT,Unidentified,14.706507,121.09806,24,15,10.7498963914,1,18,"05/08/2018, 05/10/2018, 04/30/2018, 05/09/2018, "
2018-05-08 16:44:26,2018-05-08 08:44:26.869683,d4:61:2e:5f:aa:fa,HUAWEI-AAFA,WPA2,-81,7,HuaweiTe,Unidentified,14.70645,121.098025,24,15,10.7498963914,1,2,"05/08/2018, "
2018-05-08 16:44:29,2018-05-08 08:44:30.573930,8c:34:fd:42:2b:e7,HUAWEI-E5330-2BE7,WPA2,-85,10,HuaweiTe,Hotspot,14.70634,121.097965,24,15,10.7498963914,1,2,"05/08/2018, "
2018-05-08 16:44:17,2018-05-08 08:44:18.289655,e8:de:27:79:75:20,CLIQUE5,WPA2/WPA,-82,2,Tp-LinkT,Unidentified,14.706655,121.098058,24,15,10.7498963914,1,1,"05/08/2018, "
